Data,Cena
2022-02-25,5.302
2022-02-26,5.238
2022-03-01,5.296
2022-03-02,5.476
2022-03-03,5.668
2022-03-04,5.825
2022-03-05,6.070
2022-03-08,6.530
2022-03-09,6.628
2022-03-10,6.470
2022-03-11,6.307
2022-03-12,6.216
2022-03-15,6.041
2022-03-16,5.815
2022-03-17,5.670
2022-03-18,5.657
2022-03-19,5.699
2022-03-22,5.963
2022-03-23,5.981
2022-03-24,6.104
2022-03-25,6.142
2022-03-26,6.213
2022-03-29,6.117
2022-03-30,6.063
2022-03-31,6.024
2022-04-01,5.967
2022-04-02,5.884
2022-04-05,5.851
2022-04-06,5.831
2022-04-07,5.796
2022-04-08,5.752
2022-04-09,5.731
2022-04-12,5.686
2022-04-13,5.794
2022-04-14,5.874
2022-04-15,5.862
2022-04-20,5.861
2022-04-21,5.867
2022-04-22,5.896
2022-04-23,5.916
2022-04-26,5.857
2022-04-27,5.947
2022-04-28,6.128
2022-04-29,6.260
2022-04-30,6.237
2022-05-05,6.343
2022-05-06,6.352
2022-05-07,6.517
2022-05-10,6.430
2022-05-11,6.408
2022-05-12,6.407
2022-05-13,6.515
2022-05-14,6.791
2022-05-17,6.932
2022-05-18,6.942
2022-05-19,6.876
2022-05-20,6.826
2022-05-21,6.822
2022-05-24,6.770
2022-05-25,6.714
2022-05-26,6.895
2022-05-27,7.076
2022-05-28,7.129
2022-05-31,7.213
2022-06-01,7.406
2022-06-02,7.519
2022-06-07,7.463
2022-06-08,7.397
2022-06-09,7.316
2022-06-10,7.323
2022-06-11,7.328
2022-06-14,7.323
2022-06-15,7.331
2022-06-16,7.304
2022-06-18,7.187
2022-06-21,7.150
2022-06-22,7.163
2022-06-23,7.111
2022-06-24,7.115
2022-06-25,7.124
2022-06-28,7.151
2022-06-29,7.162
2022-06-30,7.184
2022-07-01,7.108
2022-07-02,7.035
2022-07-05,7.057
2022-07-06,6.939
2022-07-07,6.861
2022-07-08,6.956
2022-07-09,6.992
2022-07-12,6.977
2022-07-13,6.911
2022-07-14,6.850
2022-07-15,6.807
2022-07-16,6.739
2022-07-19,6.662
2022-07-20,6.607
2022-07-21,6.583
2022-07-22,6.524
2022-07-23,6.470
2022-07-26,6.446
2022-07-27,6.429
2022-07-28,6.453
2022-07-29,6.493
2022-07-30,6.497
2022-08-02,6.437
2022-08-03,6.299
2022-08-04,6.253
2022-08-05,6.183
2022-08-06,6.062
2022-08-09,6.019
2022-08-10,5.998
2022-08-11,5.985
2022-08-12,5.979
2022-08-13,5.992
2022-08-17,5.979
2022-08-18,5.967
2022-08-19,5.970
2022-08-20,6.013
2022-08-23,6.017
2022-08-24,6.062
2022-08-25,6.062
2022-08-26,6.075
2022-08-27,6.021
2022-08-31,5.973
2022-09-01,5.949
2022-09-02,5.863
2022-09-03,5.800
2022-09-06,5.815
2022-09-07,5.804
2022-09-08,5.762
2022-09-09,5.725
2022-09-10,5.691
2022-09-13,5.647
2022-09-14,5.641
2022-09-15,5.685
2022-09-16,5.700
2022-09-17,5.699
2022-09-21,5.670
2022-09-22,5.668
2022-09-23,5.770
2022-09-24,5.732
2022-09-27,5.705
2022-09-28,5.742
2022-09-29,5.925
2022-09-30,5.970
2022-10-01,5.942
2022-10-04,6.027
2022-10-05,6.096
2022-10-06,6.099
2022-10-07,6.192
2022-10-08,6.435
2022-10-11,6.453
2022-10-12,6.378
2022-10-13,6.395
2022-10-14,6.562
2022-10-15,6.370
2022-10-18,6.323
2022-10-19,6.254
2022-10-20,6.180
2022-10-21,6.119
2022-10-22,6.073
2022-10-25,6.060
2022-10-26,6.087
2022-10-27,6.042
2022-10-28,6.002
2022-10-29,5.972
2022-11-01,5.920
2022-11-03,6.055
2022-11-04,6.129
2022-11-05,6.138
2022-11-08,6.051
2022-11-09,6.023
2022-11-10,5.965
2022-11-11,5.952
2022-11-15,5.827
2022-11-16,5.782
2022-11-17,5.741
2022-11-18,5.691
2022-11-19,5.662
2022-11-22,5.628
2022-11-23,5.639
2022-11-24,5.608
2022-11-25,5.582
